,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
78,8605734.983946886,1941545.0162265445,818674.0075260202,898595024500.5822,25045728.15020429,7824968.89998968,23632035.854727644,26187254.99160886,2578865.1511370307,2089530.5011159107,9064239.472489785,8260947.812719153,2511794.4062634073,2486311.8616695898,2559685.7654500455
79,9352766.802984372,2012141.6082857442,888248.1384792434,877517563482.7274,25212561.00536289,7896486.547196408,25192991.183395,25657170.360973127,2788665.756722012,2079570.4982690304,8292861.925694834,8530162.717194881,2572601.5743908193,2527384.359389691,2743291.5041439794
80,9088362.57754315,1958696.5984548,898669.4953134183,892598350353.2717,26022833.45603528,8563853.771799657,27263661.358454812,24922405.895882245,2472350.29337504,1864771.162239007,9048783.24625684,9140925.602380648,2519125.280692666,2593433.4636702333,2527228.643728377
81,8202255.967077501,2032608.6449719714,902879.2853939423,861840326791.5245,23781730.769464094,7638314.277876897,26077098.775245134,28289638.526641455,2493293.2499451838,1924967.811528192,8380014.255410462,8873687.5497818,2672079.3595030545,2477376.68702119,2794067.6734566754
82,8456107.343521811,1950443.8082504182,885173.8218973738,863204892731.3083,24525465.74831342,7120905.09446516,25815411.683615167,26974900.067695215,2682111.445370393,1931077.6345842858,8578207.592542721,9122544.74180686,2425741.4379367414,2596819.2518237694,2562455.2525804075
83,9344976.140103163,2022142.245615557,841254.7949547603,857944145204.8588,27614782.888514094,7495850.802351796,25299132.455883544,25660562.278577328,2515786.7267566225,1970074.0696953908,9126825.408134336,9029139.538102444,2538659.3390328093,2485654.819478138,2605056.977878029
84,8569658.879945006,1894100.466390083,824028.560917506,919320536732.5972,27103290.321957715,8326324.5664624935,26791266.062550653,25170173.623517573,2676396.9927443885,1825129.7813742096,8565709.390511356,8200466.667573882,2695053.8982058326,2551912.105622395,2777129.9673019643
85,8559267.135164842,2061354.6085739452,881215.5712791679,879881235009.1864,25252098.7454981,7530029.04150196,26577780.832715876,24970454.68791515,2674737.7160333944,2149928.6742805224,8181796.292480424,8438025.504329974,2646875.2875335026,2665496.544991854,2533572.675556513
86,8313903.746516116,1861768.3150918526,839685.1960930531,868198866209.2848,27522147.49860266,7835040.450477233,26182043.23723187,24084248.247832436,2724824.817062768,2036143.8950244035,8426483.418904776,8819660.025859466,2671540.01631064,2565853.1387261185,2822284.936514138
87,8411880.009142995,1966480.1109261182,848044.444599366,907655687296.8846,25942396.240949165,7761123.990927049,26839173.51321033,25420757.298016343,2634676.0650943145,2060737.2924722997,8697793.876367044,8705789.321487244,2385548.6043551574,2449945.814796874,2516110.3355636075
88,8891403.462812789,2076478.2863324445,894143.1447813344,855340317898.8635,25152612.74901733,7889322.484352486,25926538.17847952,25684480.714291215,2419676.8535476006,1982512.2066685625,9109592.543736422,9191647.951450108,2532974.142778097,2540060.861454932,2537611.227372819
89,8956665.823503723,1874602.5161917293,935111.4066576207,911002037314.3921,24364667.252766404,8340658.297176089,27183429.64943383,26800640.187486168,2694286.2715959186,2031639.5323090537,8346454.692834711,8573839.686938137,2595200.2786746817,2395825.6562433303,2395152.9563463577
90,9253197.909729833,1878538.9906568278,902531.4897170217,823024152845.934,26118719.585594088,8025926.4049003795,25805662.293041363,24990876.298654847,2443598.5791503205,1964069.473957171,8444590.885388738,9107003.95368084,2646626.038989202,2792387.306364247,2593819.3885995233
91,9060333.428301942,1883229.856535138,844807.986415338,889030680477.2349,27011985.978820153,7905532.100156847,25093986.082847197,24381918.172661945,2586998.7342147706,1871708.9041268886,8960561.299084954,8960175.793343458,2559027.057412328,2545889.67140892,2709120.0444652042
92,8617810.513078323,1849174.1881158696,857877.2724105025,894738413614.1024,26493038.31168257,7733330.141083992,24914287.27144042,23853722.5260084,2800170.0376088256,1964029.6282062228,8871798.05112502,8491325.434733542,2636086.658925802,2686677.252261242,2522738.154947977
93,8934445.576176958,2115848.7603646037,869213.1277022552,892474766009.3816,24277347.767582897,8348119.6792851165,26542308.989033688,24546329.777533762,2483492.8055662084,2055482.874505715,8862525.937131451,8067424.477918185,2628368.2594508557,2609027.0983834956,2572076.5401153252
94,8909155.563517267,2089357.9148301198,834935.5033993884,878507473620.0239,26046043.973296,7915002.980508026,26801949.218385294,25757002.464047786,2632573.7758515812,1954102.0569959367,8911097.523680558,9046926.295337452,2633650.365535411,2766016.617676247,2635270.3031377797
95,8198767.020788345,1998227.0233757433,900527.1620044304,858628056870.5232,27702925.33388628,7910816.285473846,26059523.125320673,26039879.167713515,2467529.0733004333,1899709.0788020329,8590282.980330285,8555264.229724698,2679558.432924428,2790540.3075638525,2637390.6419404745
96,8596349.406501168,1977096.517349171,879180.458661702,887267887291.9363,26913887.028081764,7687528.533315351,27455333.086842872,26145404.012406457,2619644.855221907,2031189.6929624598,8599594.404314091,9054296.76224844,2752785.26261286,2548836.448108499,2687576.5801949585
97,9340451.3361438,1937674.9240149774,885161.9811765675,823112570039.6147,26603879.056221016,8055338.49395927,25916800.635216225,26880673.65194545,2649058.773838373,1950127.3560352516,8438905.496556334,8707808.675918674,2533230.0405919133,2693414.597827008,2623700.255524459
98,8738681.744614104,1939549.6560701702,817667.5272985175,791774854425.3477,26526965.992740996,8206224.66709632,25224122.01904623,24310918.00954362,2606375.337041071,2090469.005814102,8209474.655723849,8961250.22292177,2648389.1457720455,2638926.1605183384,2643182.671761473
99,8925674.871018963,1905970.2754362994,808435.2613698981,863315529718.2639,24775104.521605387,7925963.479325095,26038045.94732351,24554021.113699585,2585189.3150408426,1931276.9990014045,8535091.063458554,8922929.483415604,2397493.9536571894,2426139.1154308617,2638327.660356696
100,8566561.52302711,2059291.5086147417,873261.9619706109,835012833957.8333,27878149.92728565,7660700.635055082,25586801.914061744,25376180.738833982,2687249.198130736,1958372.046092433,8467806.97424693,8561218.373237142,2785720.4244585033,2690205.6818518057,2700878.077537057
101,8628641.384714607,2011430.2894581987,839712.5569525143,868765188111.1221,27399260.955508456,8383376.781731449,26520341.53596687,23506204.262662828,2397759.381552334,2037446.497237123,8693793.608441643,8818990.529447954,2677801.9869774464,2538813.430227519,2377457.1458471124
102,8872544.51301915,2011186.7731125865,857072.1795152563,858857093524.0557,26085997.289737552,7209434.537376052,26418360.901144926,26543778.755515553,2781723.5877355374,2047391.7333074268,8667444.411777662,8876472.1968791,2484673.3393172426,2477631.0248422935,2547165.7839138894
103,8729901.480743797,2069054.6733010516,874487.8654448423,903988513591.9563,24845039.1668831,7722851.333706332,24565491.753659368,26578162.808390714,2522400.442700358,2013863.2230436287,8613404.397829652,8801329.029172348,2644830.4414376947,2430322.5165517824,2597377.321009793
